time,logger,level,database,message,exception
2013-08-15 13:22:50.7832,Raven.Database.DocumentDatabase,Debug,<system>,Put document Raven/Databases/Mvc5DB with etag 01000000-0000-0001-0000-000000000001,
2013-08-15 13:22:50.7832,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 2, for: ReducingExecuter, will wait for additional work",
2013-08-15 13:22:50.7832,Raven.Database.Server.HttpServer,Debug,,Request #  22: PUT     -   351 ms - <system>   - 200 - /admin/databases/Mvc5DB,
2013-08-15 13:22:50.7832,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,,Document with key 'Raven/Databases/Mvc5DB' was found,
2013-08-15 13:22:50.8263,Raven.Database.Server.HttpServer,Debug,,Request #  23: GET     -    22 ms - <system>   - 200 - /stats?noCache=-1589964895,
2013-08-15 13:22:50.9033,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,Found a total of 1 documents that requires indexing since etag: 00000000-0000-0000-0000-000000000000: (Raven/Databases/Mvc5DB),
2013-08-15 13:22:51.4367,Raven.Database.Impl.DocumentCacher,Info,Mvc5DB,"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3160408064
  PollingInterval     = 00:02:00",
2013-08-15 13:22:51.4367,Raven.Storage.Esent.TransactionalStorage,Info,Mvc5DB,"Esent Settings:
  MaxVerPages      = 16384
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2013-08-15 13:22:51.6008,Raven.Database.Impl.DocumentRetriever,Debug,,Trigger Raven.Database.Plugins.Builtins.FilterRavenInternalDocumentsReadTrigger asked us to ignore Raven/Databases/Mvc5DB,
2013-08-15 13:22:51.6008,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"After read triggers executed, 1 documents remained",
2013-08-15 13:22:51.6938,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"Going to index 1 documents in IndexName: Raven/DocumentsByEntityName, LastIndexedEtag: 00000000-0000-0000-0000-000000000000: (Raven/Databases/Mvc5DB)",
2013-08-15 13:22:51.8589,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Indexing 1 documents for index: Raven/DocumentsByEntityName. (Raven/Databases/Mvc5DB),
2013-08-15 13:22:52.5364,Raven.Database.Indexing.Index.Indexing,Debug,,Indexed 0 documents for Raven/DocumentsByEntityName,
2013-08-15 13:22:52.6415,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,"After indexing 1 documents, the new last etag for is: 01000000-0000-0001-0000-000000000001 for Raven/DocumentsByEntityName",
2013-08-15 13:22:52.7315,Raven.Database.Indexing.WorkContext,Debug,,Incremented work counter to 3 because: WORK BY IndexingExecuter,
2013-08-15 13:22:52.7315,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 3, for: ReducingExecuter, will wait for additional work",
2013-08-15 13:22:52.7315,Raven.Database.Indexing.WorkContext,Debug,,"No work was found, workerWorkCounter: 3, for: IndexingExecuter, will wait for additional work",
2013-08-15 13:22:52.8326,Raven.Database.Server.HttpServer,Debug,,Request #  24: GET     -    26 ms - <system>   - 200 - /stats?noCache=1267549500,
2013-08-15 13:22:54.7409,Raven.Database.Indexing.WorkContext,Warn,Mvc5DB,"Could not setup performance counters properly because of access permissions, perf counters will not be used","System.Security.SecurityException: Requested registry access is not allowed.
   at Microsoft.Win32.RegistryKey.OpenSubKey(String name, Boolean writable)
   at System.Diagnostics.PerformanceCounterLib.CreateRegistryEntry(String categoryName, PerformanceCounterCategoryType categoryType, CounterCreationDataCollection creationData, Boolean& iniRegistered)
   at System.Diagnostics.PerformanceCounterLib.RegisterCategory(String categoryName, PerformanceCounterCategoryType categoryType, String categoryHelp, CounterCreationDataCollection creationData)
   at System.Diagnostics.PerformanceCounterCategory.Create(String categoryName, String categoryHelp, PerformanceCounterCategoryType categoryType, CounterCreationDataCollection counterData)
   at Raven.Database.Indexing.WorkContext.SetupPerformanceCounter(String name) in c:\Builds\RavenDB-Stable\Raven.Database\Indexing\WorkContext.cs:line 337
   at Raven.Database.Indexing.WorkContext.Init(String name) in c:\Builds\RavenDB-Stable\Raven.Database\Indexing\WorkContext.cs:line 377
The Zone of the assembly that failed was:
MyComputer"
2013-08-15 13:22:54.7409,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Mvc5DB,Document with key 'Raven/Backup/Periodic/Setup' was not found,
2013-08-15 13:22:54.7409,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,,Document with key 'Raven/Backup/Status' was not found,
2013-08-15 13:22:54.7549,Raven.Database.Indexing.WorkContext,Debug,Mvc5DB,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2013-08-15 13:22:54.7549,Raven.Database.Indexing.WorkContext,Debug,Mvc5DB,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2013-08-15 13:22:55.0951,Raven.Database.Storage.IndexDefinitionStorage,Info,Mvc5DB,"New index Raven%2fDocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;


public class Index_Raven_2fDocumentsByEntityName : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };"";
		this.AddMapDefinition(docs => 
			from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new {
				Tag,
				LastModified = (DateTime)doc[""@metadata""][""Last-Modified""],
				__document_id = doc.__document_id
			});
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;


public class Index_Raven_2fDocumentsByEntityName : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };"";
		this.AddMapDefinition(docs => 
			from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new {
				Tag,
				LastModified = (DateTime)doc[""@metadata""][""Last-Modified""],
				__document_id = doc.__document_id
			});
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2013-08-15 13:22:55.1231,Raven.Database.Indexing.IndexStorage,Debug,Mvc5DB,Creating index Raven/DocumentsByEntityName with encoded name Raven/DocumentsByEntityName,
2013-08-15 13:22:55.1231,Raven.Database.Indexing.Index.Indexing,Debug,Mvc5DB,Creating index for Raven/DocumentsByEntityName,
2013-08-15 13:22:55.1602,Raven.Database.Server.HttpServer,Debug,,Request #  25: GET     -   132 ms - <system>   - 200 - /databases?pageSize=1024&noCache=-445294562,
2013-08-15 13:22:55.1932,Raven.Database.Indexing.WorkContext,Debug,Mvc5DB,Incremented work counter to 1 because: PUT INDEX Raven/DocumentsByEntityName,
2013-08-15 13:22:55.1932,Raven.Database.Server.HttpServer,Debug,,"Request #  26: GET     - 4,408 ms - Mvc5DB     - 200 - /silverlight/ensureStartup?noCache=-331115704",
2013-08-15 13:22:55.1932,Raven.Database.Indexing.WorkContext,Debug,Mvc5DB,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2013-08-15 13:22:55.1932,Raven.Database.Indexing.WorkContext,Debug,Mvc5DB,"No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work",
2013-08-15 13:22:55.2582,Raven.Database.Server.HttpServer,Debug,,Request #  27: GET     -     0 ms - <system>   - 200 - /changes/config?id=1/1c1B8i&command=unwatch-docs&noCache=-771631325,
2013-08-15 13:22:55.2732,Raven.Database.Server.HttpServer,Debug,,Request #  28: GET     -     0 ms - <system>   - 200 - /changes/config?id=1/1c1B8i&command=unwatch-indexes&noCache=1935583099,
2013-08-15 13:22:55.3043,Raven.Database.Server.HttpServer,Debug,Mvc5DB,Request #  29: GET     -     0 ms - Mvc5DB     - 200 - /changes/events?id=2/24j71U,
2013-08-15 13:22:55.3043,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Mvc5DB,Document with key 'Raven/Alerts' was not found,
2013-08-15 13:22:55.3043,Raven.Database.Server.HttpServer,Debug,,Request #  30: GET     -     3 ms - Mvc5DB     - 404 - /docs/Raven/Alerts?noCache=-875034952,
2013-08-15 13:22:55.3043,Raven.Database.Server.HttpServer,Debug,,Request #  31: GET     -     6 ms - <system>   - 200 - /changes/config?id=1/1c1B8i&command=disconnect&noCache=-1433363616,
2013-08-15 13:22:55.3213,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Databases/Mvc5DB' was found,
